iter	Logloss
0	0.6498151185
1	0.6082748326
2	0.5701397368
3	0.5352925763
4	0.5059372725
5	0.478171104
6	0.4515308617
7	0.4269864502
8	0.4042666246
9	0.3849728627
10	0.3654935701
11	0.3478776238
12	0.3315815018
13	0.3162866437
14	0.3019001629
15	0.2887590397
16	0.2769500882
17	0.2658183937
18	0.2558447356
19	0.2455769115
20	0.2361636445
21	0.2274324191
22	0.219372347
23	0.2111560182
24	0.2040312676
25	0.1972485093
26	0.1907319492
27	0.1848477172
28	0.1791105387
29	0.1741621115
30	0.1691608084
31	0.1650952945
32	0.1607093192
33	0.155995277
34	0.1517997236
35	0.1479784953
36	0.1446397054
37	0.1412454845
38	0.1378450599
39	0.1342178097
40	0.1313634991
41	0.1286053574
42	0.1258662351
43	0.1233356732
44	0.1208760947
45	0.1188110639
46	0.1163381139
47	0.11433597
48	0.112309431
49	0.110422082
50	0.108515019
51	0.106260048
52	0.1048202671
53	0.1029241711
54	0.101204366
55	0.0996124551
56	0.09790536093
57	0.09656679142
58	0.09503322395
59	0.09379260263
60	0.09253725975
61	0.09101763836
62	0.08975568119
63	0.08842456484
64	0.08725071636
65	0.08616137456
66	0.08523504196
67	0.08444506451
68	0.08333485641
69	0.08249953491
70	0.08151733965
71	0.08053196649
72	0.07958283628
73	0.07840566642
74	0.07750960654
75	0.07667170864
76	0.07582661812
77	0.07494469906
78	0.07428385091
79	0.07322820063
80	0.07273879334
81	0.0719778303
82	0.07117593044
83	0.07049249261
84	0.06983886995
85	0.06926988147
86	0.06874631058
87	0.06815882574
88	0.06770330845
89	0.06718039932
90	0.06666130471
91	0.06600010303
92	0.06545430183
93	0.06486725016
94	0.06427631805
95	0.06370286697
96	0.06315892847
97	0.06262438486
98	0.06207028906
99	0.06157386257
